업체명,물품분류명,계약유형,금액
주식회사 포딕스시스템,네트워크스위치,제3자단가계약,3400000
주식회사 명광,보안용카메라,제3자단가계약,0
주식회사 포딕스시스템,통신서버소프트웨어,제3자단가계약,10000000
주식회사 포딕스시스템,통신서버소프트웨어,제3자단가계약,7650000
주식회사 비알인포텍,영상감시장치,제3자단가계약,12243000
주식회사 비알인포텍,영상감시장치,제3자단가계약,975000
주식회사 비알인포텍,영상감시장치,제3자단가계약,1309000
주식회사 비알인포텍,영상감시장치,제3자단가계약,5585000
주식회사 비알인포텍,누전차단기,제3자단가계약,178000
주식회사 비알인포텍,서지방지장치,제3자단가계약,135000
주식회사 비알인포텍,서지방지장치,제3자단가계약,504000
주식회사 비알인포텍,SAN스위치,제3자단가계약,700000
주식회사 비알인포텍,카메라받침대,제3자단가계약,394000
주식회사 비알인포텍,상자,제3자단가계약,1241000
주식회사 비알인포텍,안내판,제3자단가계약,215890
주식회사 비알인포텍,절연전선및피복선,제3자단가계약,12900
주식회사 비알인포텍,네트워크케이블,제3자단가계약,16440
주식회사 비알인포텍,정보통신공사,제3자단가계약,249700
주식회사 비알인포텍,정보통신공사,제3자단가계약,109760
주식회사 두원전자통신,안내판,제3자단가계약,647670
주식회사 두원전자통신,네트워크케이블,제3자단가계약,1096000
주식회사 인텔리빅스,카메라받침대,제3자단가계약,3450000
이노뎁(주),네트워크케이블,제3자단가계약,6247200
이노뎁(주),옥외광섬유케이블,제3자단가계약,6027000
이노뎁(주),정보통신공사,제3자단가계약,4021920
이노뎁(주),정보통신공사,제3자단가계약,3908880
이노뎁(주),전선관,제3자단가계약,5365800
이노뎁(주),광분배함,제3자단가계약,1968000
주식회사 인텔리빅스,상자,제3자단가계약,6384000
주식회사 디라직,오디오장비커넥터및스테이지박스,제3자단가계약,4650000
주식회사 디라직,리모트앰프,제3자단가계약,1812000
주식회사 디라직,스피커제어유닛,제3자단가계약,3202000
주식회사 디라직,전원공급장치,제3자단가계약,866000
주식회사 디라직,랙캐비닛용패널,제3자단가계약,224000
주식회사 디라직,라디오튜너,제3자단가계약,850000
주식회사 인텔리빅스,서지방지장치,제3자단가계약,1476000
주식회사 송우인포텍,차량번호판독기,제3자단가계약,43220000
주식회사 포딕스시스템,영상감시장치,제3자단가계약,1531000
주식회사 포딕스시스템,보안용카메라,제3자단가계약,13491000
주식회사 디라직,통신케이블어셈블리,제3자단가계약,600000
주식회사 디라직,변조기,제3자단가계약,5152000
렉스젠 주식회사,보안용카메라,제3자단가계약,13800000
렉스젠 주식회사,전광판,제3자단가계약,5025000
렉스젠 주식회사,무인교통감시장치,제3자단가계약,26627000
주식회사 시큐인포,영상감시장치,제3자단가계약,1920000
주식회사 시큐인포,상자,제3자단가계약,1517000
주식회사 시큐인포,네트워크스위치,제3자단가계약,1775000
주식회사 시큐인포,네트워크스위치,제3자단가계약,2922000
주식회사 시큐인포,하드디스크드라이브,제3자단가계약,3657000
주식회사 시큐인포,광분배함,제3자단가계약,149100
주식회사 시큐인포,광송신기또는수신기,제3자단가계약,104000
주식회사 시큐인포,유선송신기또는수신기,제3자단가계약,123000
주식회사 시큐인포,유선송신기또는수신기,제3자단가계약,123000
주식회사 시큐인포,전원공급장치,제3자단가계약,548000
주식회사 시큐인포,LCD패널또는모니터,제3자단가계약,302000
주식회사 시큐인포,네트워크시스템장비용랙,제3자단가계약,407000
주식회사 시큐인포,누전차단기,제3자단가계약,37000
주식회사 시큐인포,카메라받침대,제3자단가계약,1376000
주식회사 아이엔아이,영상감시장치,제3자단가계약,1762000
주식회사 아이엔아이,하드디스크어레이,제3자단가계약,15997000
주식회사 아이엔아이,하드디스크드라이브,제3자단가계약,67130000
주식회사 솔디아,네트워크시스템장비용랙,제3자단가계약,1783400
주식회사 솔디아,광분배함,제3자단가계약,290080
주식회사 솔디아,전력케이블,제3자단가계약,1077500
주식회사 솔디아,네트워크케이블,제3자단가계약,3699000
주식회사 솔디아,옥외광섬유케이블,제3자단가계약,2719500
주식회사 솔디아,정보통신공사,제3자단가계약,893760
주식회사 솔디아,정보통신공사,제3자단가계약,1737280
주식회사 솔디아,전선관,제3자단가계약,3495900
주식회사 솔디아,토공사,제3자단가계약,1640250
주식회사 솔디아,토공사,제3자단가계약,805950
주식회사 솔디아,정보통신공사,제3자단가계약,1069190
주식회사 솔디아,정보통신공사,제3자단가계약,3870350
주식회사 솔디아,정보통신공사,제3자단가계약,329280
주식회사 세오,하드디스크드라이브,제3자단가계약,4704000
주식회사 인텔리빅스,영상감시장치,제3자단가계약,41100000
주식회사 시큐인포,네트워크스위치,제3자단가계약,1100000
주식회사 시큐인포,디지털비디오레코더,제3자단가계약,2200000
주식회사 시큐인포,하드디스크드라이브,제3자단가계약,1011000
주식회사 시큐인포,보안용카메라,제3자단가계약,9400000
주식회사 시큐인포,보안용카메라,제3자단가계약,2766000
이노뎁(주),통신서버소프트웨어,제3자단가계약,2200000
주식회사 디라직,랙캐비닛용패널,제3자단가계약,185000
주식회사 디라직,랙캐비닛용패널,제3자단가계약,102000
주식회사센텍,디지털비디오레코더,제3자단가계약,9891000
주식회사센텍,하드디스크드라이브,제3자단가계약,2451000
주식회사센텍,네트워크스위치,제3자단가계약,2760000
주식회사센텍,광송신기또는수신기,제3자단가계약,72000
주식회사센텍,광섬유케이블어셈블리,제3자단가계약,40000
(주)앤다스,전력케이블,제3자단가계약,1058000
(주)앤다스,네트워크케이블,제3자단가계약,2329000
(주)앤다스,전선관,제3자단가계약,6422700
주식회사 두원전자통신,광분배함,제3자단가계약,145040
주식회사 두원전자통신,전력케이블,제3자단가계약,322000
주식회사 두원전자통신,네트워크케이블,제3자단가계약,191800
주식회사 두원전자통신,영상감시장치,제3자단가계약,6756000
주식회사 두원전자통신,보안용카메라,제3자단가계약,3589000
주식회사 두원전자통신,상자,제3자단가계약,788000
주식회사 두원전자통신,하드디스크드라이브,제3자단가계약,4557000
주식회사 두원전자통신,카메라받침대,제3자단가계약,268000
주식회사 두원전자통신,카메라받침대,제3자단가계약,45000
주식회사 두원전자통신,카메라받침대,제3자단가계약,728000
주식회사 두원전자통신,카메라받침대,제3자단가계약,804000
주식회사 두원전자통신,누전차단기,제3자단가계약,37000
주식회사 두원전자통신,서지방지장치,제3자단가계약,216000
주식회사 두원전자통신,네트워크스위치,제3자단가계약,1545000
주식회사 두원전자통신,네트워크스위치,제3자단가계약,62000
주식회사 두원전자통신,광섬유케이블어셈블리,제3자단가계약,10000
주식회사 포딕스시스템,영상감시장치,제3자단가계약,0
주식회사 포딕스시스템,네트워크스위치,제3자단가계약,0
주식회사 포딕스시스템,하드디스크드라이브,제3자단가계약,0
주식회사 포딕스시스템,LCD패널또는모니터,제3자단가계약,0
주식회사 포딕스시스템,전원공급장치,제3자단가계약,0
